canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,CHEMBL12713,IC50,nM,14.0,IC50,nM,14.0
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,CHEMBL1108,IC50,nM,32.2,IC50,nM,32.2
O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,CHEMBL2368925,IC50,nM,5950.0,IC50,nM,5950.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CHEMBL6966,IC50,nM,143.0,IC50,nM,143.0
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,CHEMBL1107,IC50,nM,196.0,IC50,nM,196.0
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CHEMBL998,IC50,nM,173.0,IC50,nM,173.0
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,CHEMBL12713,IC50,nM,14.0,IC50,nM,14.0
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,CHEMBL370805,IC50,nM,4.4,IC50,nM,4.4
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,CHEMBL708,IC50,nM,152.0,IC50,nM,152.0
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CHEMBL472,IC50,nM,74000.0,IC50,nM,74000.0
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,CHEMBL45816,IC50,nM,1430.0,IC50,nM,1430.0
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,CHEMBL192,IC50,nM,100000.0,IC50,nM,100000.0
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CHEMBL32,IC50,nM,129000.0,IC50,nM,129000.0
CN(C)CCC=C1c2ccccc2CCc2ccccc21,CHEMBL629,IC50,nM,10000.0,IC50,nM,10000.0
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CHEMBL31,IC50,nM,130000.0,IC50,nM,130000.0
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,CHEMBL1008,IC50,nM,550.0,IC50,nM,550.0
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,CHEMBL473,IC50,nM,15.0,IC50,nM,15.0
Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,CHEMBL583,IC50,nM,104000.0,IC50,nM,104000.0
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,CHEMBL296419,IC50,nM,0.9,IC50,nM,0.9
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,CHEMBL54,IC50,nM,28.1,IC50,nM,28.1
Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,CHEMBL61301,IC50,nM,28.0,IC50,nM,28.0
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,CHEMBL17157,IC50,nM,204.0,IC50,nM,204.0
CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,CHEMBL289469,IC50,nM,3730.0,IC50,nM,3730.0
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,CHEMBL75880,IC50,nM,7800.0,IC50,nM,7800.0
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,CHEMBL1423,IC50,nM,18.0,IC50,nM,18.0
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,CHEMBL42,IC50,nM,191.0,IC50,nM,191.0
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,CHEMBL1729,IC50,nM,6.5,IC50,nM,6.5
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,CHEMBL914,IC50,nM,21570.0,IC50,nM,21570.0
Cc1cccc(CCN2CCC(C(=O)c3ccc(NS(C)(=O)=O)cc3)CC2)n1,CHEMBL327980,IC50,nM,7.7,IC50,nM,7.7
C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,CHEMBL850,IC50,nM,34400.0,IC50,nM,34400.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CHEMBL71,IC50,nM,1470.0,IC50,nM,1470.0
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,CHEMBL219916,IC50,nM,162.0,IC50,nM,162.0
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,CHEMBL23,IC50,nM,17300.0,IC50,nM,17300.0
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,CHEMBL85,IC50,nM,163.0,IC50,nM,163.0
CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,CHEMBL94454,IC50,nM,350.0,IC50,nM,350.0
CN1CCN(CCCCN2C(=O)CN(/N=C/c3ccc(-c4ccc(Cl)cc4)o3)C2=O)CC1,CHEMBL123558,IC50,nM,560.0,IC50,nM,560.0
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,CHEMBL479,IC50,nM,35.7,IC50,nM,35.7
CN(C)CCCN1c2ccccc2CCc2ccccc21,CHEMBL11,IC50,nM,3400.0,IC50,nM,3400.0
CN1C(=O)[C@H](NC(=O)C(N)Cc2ccccc2)N=C(c2ccccc2)c2ccccc21,CHEMBL338109,IC50,nM,8800.0,IC50,nM,8800.0
O=C(Cc1ccc(C(F)(F)F)cc1C(F)(F)F)N[C@@H]1N=C(c2ccccc2)c2ccccc2N(CC(F)(F)F)C1=O,CHEMBL16900,IC50,nM,6000.0,IC50,nM,6000.0
CN1C(=O)[C@H](NC(=O)CCC2CCCCC2)N=C(c2ccccc2)c2ccccc21,CHEMBL340353,IC50,nM,1000.0,IC50,nM,1000.0
CN1C(=O)[C@H](NC(=O)/C=C/c2ccc(Cl)cc2Cl)N=C(c2ccccc2)c2ccccc21,CHEMBL332826,IC50,nM,1500.0,IC50,nM,1500.0
O=C(Cc1ccc(Cl)cc1Cl)N[C@@H]1N=C(c2ccccc2)c2ccccc2N(CC(F)(F)F)C1=O,CHEMBL127701,IC50,nM,2400.0,IC50,nM,2400.0
Cc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1,CHEMBL9387,IC50,nM,5000.0,IC50,nM,5000.0
O=C(Cc1cc(Cl)cc(Cl)c1)N[C@@H]1N=C(c2ccccc2)c2ccccc2N(CC(F)(F)F)C1=O,CHEMBL339327,IC50,nM,4000.0,IC50,nM,4000.0
Cc1cccc(NC(=O)N[C@H]2N=C(c3ccccc3)c3ccccc3N(C)C2=O)c1,CHEMBL70380,IC50,nM,10000.0,IC50,nM,10000.0
CN(C)CCN1C(=O)C(NC(=O)CCc2ccc(Cl)cc2Cl)N=C(c2ccccc2)c2ccccc21,CHEMBL128007,IC50,nM,100.0,IC50,nM,100.0
O=C1NCCN1CCN1CCC(c2cn(-c3ccccc3)c3ccc(Cl)cc23)CC1,CHEMBL443476,IC50,nM,88.0,IC50,nM,88.0
O=C1NCCN1CCN1CCC(c2cn(C3CCCCC3)c3ccc(Cl)cc23)CC1,CHEMBL53661,IC50,nM,137.0,IC50,nM,137.0
CCC(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,CHEMBL299390,IC50,nM,1480.0,IC50,nM,1480.0
O=C1NCCN1CCN1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,CHEMBL12186,IC50,nM,10.0,IC50,nM,10.0
CC(C)(C)c1ccc2c(ccn2-c2ccc(F)cc2)c1,CHEMBL299590,IC50,nM,10000.0,IC50,nM,10000.0
O=C1NCCN1CCN1CCC(C2CN(c3ccc(F)cc3)c3ccccc32)CC1,CHEMBL556312,IC50,nM,23.5,IC50,nM,23.5
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,CHEMBL1729,IC50,nM,45.0,IC50,nM,45.0
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CHEMBL6966,IC50,nM,143.0,IC50,nM,143.0
O=C(O)Cc1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,CHEMBL55835,IC50,nM,579.0,IC50,nM,579.0
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,CHEMBL17157,IC50,nM,56.0,IC50,nM,56.0
Fc1ccc(-n2cc(C3CCN(CCN4CCN=C4S)CC3)c3ccccc32)cc1,CHEMBL298978,IC50,nM,6.2,IC50,nM,6.2
CCC(O)(CC)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,CHEMBL53871,IC50,nM,15700.0,IC50,nM,15700.0
O=C(O)c1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,CHEMBL300927,IC50,nM,75000.0,IC50,nM,75000.0
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,CHEMBL473,IC50,nM,10.0,IC50,nM,10.0
CC(=O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,CHEMBL301992,IC50,nM,10000.0,IC50,nM,10000.0
CCCc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,CHEMBL52348,IC50,nM,26000.0,IC50,nM,26000.0
CCC(O)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,CHEMBL53866,IC50,nM,2200.0,IC50,nM,2200.0
CC(C)c1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,CHEMBL53089,IC50,nM,10000.0,IC50,nM,10000.0
CN(C)Cc1cn(-c2ccc(F)cc2)c2ccc(Cl)cc12,CHEMBL301956,IC50,nM,11.0,IC50,nM,11.0
